year,facility_name,city,state,parent_company,chemical,air_emissions_lbs
2024,BAE SYSTEMS,LOUISVILLE,KY,BAE SYSTEMS INC,Copper,14.06
2024,NORTHROP GRUMMAN SYSTEMS CORP,SUNNYVALE,CA,NORTHROP GRUMMAN CORP,Ammonia,998.66
2024,NORTHROP GRUMMAN SYSTEMS CORP (NEW RIVER ENERGETICS),RADFORD,VA,NORTHROP GRUMMAN CORP,Nitroglycerin,22683.0
2024,US AIR FORCE PLANT 4 LOCKHEED MARTIN AERONAUTICS CO,FORT WORTH,TX,LOCKHEED MARTIN CORP,Naphthalene,439.17999999999995
2024,NORTHROP GRUMMAN SYSTEMS CORP (NEW RIVER ENERGETICS),RADFORD,VA,NORTHROP GRUMMAN CORP,Nitrate compounds (water dissociable; reportable only when in aqueous solution),116.8
2024,BAERLOCHER USA,DOVER,OH,BAERLOCHER CHEMICALS OF NORTH AMERICA INC,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),8.28
2024,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,JACKSONVILLE,FL,BAE SYSTEMS INC,Aluminum oxide (fibrous forms),57570.0
2024,SIKORSKY AIRCRAFT STRATFORD FACILITY,STRATFORD,CT,LOCKHEED MARTIN CORP,Methanol,261.0
2024,ALLEGANY BALLISTICS LAB (NIROP),ROCKET CENTER,WV,NORTHROP GRUMMAN CORP,Copper compounds,1816.0
2024,NORTHROP GRUMMAN SYSTEMS CORP,LINTHICUM HEIGHTS,MD,NORTHROP GRUMMAN CORP,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",31.0
2024,US AIR FORCE PLANT 4 LOCKHEED MARTIN AERONAUTICS CO,FORT WORTH,TX,LOCKHEED MARTIN CORP,Toluene,30924.9
2024,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,JACKSONVILLE,FL,BAE SYSTEMS INC,Xylene (mixed isomers),4192.0
2024,LOCKHEED MARTIN RMS,OWEGO,NY,LOCKHEED MARTIN CORP,Copper  And Copper Compounds,314.0
2024,LOCKHEED MARTIN RMS,OWEGO,NY,LOCKHEED MARTIN CORP,Nitrate compounds (water dissociable; reportable only when in aqueous solution),10.0
2024,LOCKHEED MARTIN AERONAUTICS CO,PALMDALE,CA,LOCKHEED MARTIN CORP,Toluene,390.0
2024,BAE SYSTEMS NORFOLK SHIP REPAIR,NORFOLK,VA,BAE SYSTEMS INC,Zinc compounds,201.0
2024,BAE SYSTEMS NORFOLK SHIP REPAIR,NORFOLK,VA,BAE SYSTEMS INC,Nickel  And Nickel Compounds,3.95
